987,562,0
1007,562,17
1027,562,80
1047,562,174
1067,562,274
1087,562,365
1107,562,439
1127,562,493
1147,562,528
1167,562,549
1187,562,561
1207,562,568
1227,562,567
1247,562,563
1267,562,559
1287,562,562
1307,562,564
1327,562,560
1347,562,562
1367,562,562
3356,-1687,563
3376,-1687,549
3396,-1687,489
3416,-1687,394
3436,-1687,282
3456,-1687,161
3476,-1687,36
3496,-1687,-93
3516,-1687,-222
3536,-1687,-353
3556,-1687,-485
3576,-1687,-616
3596,-1687,-748
3616,-1687,-881
3636,-1687,-1014
3656,-1687,-1146
3676,-1687,-1279
3696,-1687,-1403
3716,-1687,-1508
3736,-1687,-1588
3756,-1687,-1643
3776,-1687,-1675
3796,-1687,-1693
3816,-1687,-1696
3836,-1687,-1694
3856,-1687,-1690
3876,-1687,-1685
3896,-1687,-1686
3916,-1687,-1689
3936,-1687,-1687
3956,-1687,-1687
5940,-1656,-1688
5960,-1656,-1686
5980,-1656,-1683
6000,-1656,-1677
6020,-1656,-1670
6040,-1656,-1663
6060,-1656,-1656
6080,-1656,-1653
6100,-1656,-1658
6120,-1656,-1657
6140,-1656,-1655
6160,-1656,-1658
6180,-1656,-1656
